Prefetcher,Start,End,Vertices Requested,Vertices Evicted,Cache Hits, Cache Misses,Total Runtime,Total DB time,DB calls
CTE Lookahead (1),1,50,6573,0,1404,5169,4106715494,3369649072,5169
CTE Lookahead (2),1,50,6573,0,4178,2395,2105725420,1671695558,2395
CTE Lookahead (3),1,50,6573,0,5279,1294,1525802841,1112688385,1294
CTE Lookahead (4),1,50,6573,0,5747,826,1334517996,907798432,826
CTE Lookahead (5),1,50,6573,0,6024,549,1149229686,784073702,549
Lookahead (1),1,50,6573,0,4171,2402,9379207679,8769134903,4804
Lookahead (2),1,50,6573,0,5273,1300,8025539736,7434707447,3900
Lookahead (3),1,50,6573,0,5754,819,7274887749,6699298993,3276
Lookahead (4),1,50,6573,0,6029,544,5469761246,4936321243,2720
Lookahead (5),1,50,6573,0,6170,403,5192107536,4637805440,2418
Lookahead (10),1,50,6573,0,6448,125,3257036904,2746182874,1375
Lookahead (15),1,50,6573,0,6515,58,2536256442,1986616849,928
Lookahead (20),1,50,6573,0,6541,32,2120014359,1537269976,672
Lookahead (25),1,50,6573,0,6552,21,1971729227,1336370578,546
Lookahead (30),1,50,6573,0,6558,15,1786200150,1115362607,465
Lookahead (35),1,50,6573,0,6562,11,1746182985,1051538758,396
Lookahead (40),1,50,6573,0,6566,7,1316118453,734539844,287
Lookahead (45),1,50,6573,0,6566,7,1416064289,786557930,322
Lookahead (50),1,50,6573,0,6569,4,1226658234,623260561,204
Null Prefetcher,1,50,6573,0,1404,5169,9616328144,9152922865,5169
Block (1),1,50,6573,0,1404,5169,292703046781,291654155358,5169
Block (10),1,50,6573,0,1404,5169,284913188415,283950092700,5169
Block (50),1,50,6573,0,1406,5167,292986813962,292096192498,5167
Block (100),1,50,6573,0,1414,5159,288757296876,287843348151,5159
Block (250),1,50,6573,0,1588,4985,289210663857,288280152125,4985
Block (500),1,50,6573,0,2129,4444,243167090042,242333723454,4444
Block (1000),1,50,6573,0,3443,3130,179530329281,178847051486,3130
Block (5000),1,50,6573,0,6149,424,23929561563,23366775645,424
Block (10000),1,50,6573,0,6433,140,9055580591,8002541903,140
Block (20000),1,50,6573,0,6531,42,5810980650,3504991593,42
Block (50000),1,50,6573,0,6565,8,13011042678,885163716,8
