Engine	bounds	results	time
Neo4J	-74450000,40301000,-73500010,40301500	10	1181344167
Grapht	-74450000,40301000,-73500010,40301500	10	187913958
PostgreSQL	-74450000,40301000,-73500010,40301500	10	187913958
Neo4J	-74450000,40301000,-73500010,40301500	10	709994441
Grapht	-74450000,40301000,-73500010,40301500	10	72393858
PostgreSQL	-74450000,40301000,-73500010,40301500	10	72393858
Neo4J	-74450000,40301000,-73500010,40301500	10	681566613
Grapht	-74450000,40301000,-73500010,40301500	10	74369329
PostgreSQL	-74450000,40301000,-73500010,40301500	10	74369329
Neo4J	-74450000,40301000,-73500010,40301500	10	678416842
Grapht	-74450000,40301000,-73500010,40301500	10	84363558
PostgreSQL	-74450000,40301000,-73500010,40301500	10	84363558
Neo4J	-74450000,40301000,-73500010,40301500	10	688766556
Grapht	-74450000,40301000,-73500010,40301500	10	70890958
PostgreSQL	-74450000,40301000,-73500010,40301500	10	70890958
Neo4J	-74450000,40301000,-73500010,40301500	10	682543641
Grapht	-74450000,40301000,-73500010,40301500	10	71173708
PostgreSQL	-74450000,40301000,-73500010,40301500	10	71173708
Neo4J	-74450000,40301000,-73500010,40301500	10	683359951
Grapht	-74450000,40301000,-73500010,40301500	10	68244353
PostgreSQL	-74450000,40301000,-73500010,40301500	10	68244353
Neo4J	-74450000,40301000,-73500010,40301500	10	671475503
Grapht	-74450000,40301000,-73500010,40301500	10	68035955
PostgreSQL	-74450000,40301000,-73500010,40301500	10	68035955
Neo4J	-74450000,40301000,-73500010,40301500	10	717095632
Grapht	-74450000,40301000,-73500010,40301500	10	74755590
PostgreSQL	-74450000,40301000,-73500010,40301500	10	74755590
Neo4J	-74450000,40301000,-73500010,40301500	10	770776109
Grapht	-74450000,40301000,-73500010,40301500	10	73843690
PostgreSQL	-74450000,40301000,-73500010,40301500	10	73843690
[0m[[32msuccess[0m] [0mTotal time: 28 s, completed 24-May-2016 23:19:12[0m
